Z,A,EC_Halflife(s)
62,125,0.07410
62,126,0.13659
62,127,0.11974
62,128,0.27942
62,129,0.24825
62,130,0.82210
62,131,0.89850
62,132,2.05532
62,133,1.38567
62,134,6.75837
62,135,8.36822
62,136,46.84232
62,137,44.52850
62,138,112.35947
62,139,84.80571
62,140,900.06854
62,141,417.23633
62,142,1453.83496
62,143,1409.82349
62,145,18982864.00000
63,125,0.01063
63,126,0.01340
63,127,0.02224
63,128,0.03120
63,129,0.04835
63,130,0.04651
63,131,0.13721
63,132,0.30923
63,133,0.84445
63,134,0.73352
63,135,2.19027
63,136,2.91442
63,137,4.00437
63,138,4.81069
63,139,10.32953
63,140,7.68420
63,141,26.43883
63,142,91.30240
63,143,98.32962
63,144,39.86273
63,145,3236.09277
63,146,1126356.50000
63,147,6931471872.00000
63,148,12884.41797
63,149,394962592.00000
63,150,1938960256.00000
63,152,6931471872.00000
63,154,123555776.00000
64,128,0.03571
64,129,0.03317
64,130,0.06515
64,131,0.06161
64,132,0.26125
64,133,0.20663
64,134,0.46074
64,135,1.02093
64,136,1.15920
64,137,1.01452
64,138,4.88483
64,139,5.49567
64,140,11.54510
64,141,11.13987
64,142,58.58055
64,143,41.45566
64,144,59.73848
64,145,16.80129
64,146,74175.82812
64,147,118318.35938
64,148,6931471872.00000
64,149,1911.82922
64,151,16404.68359
64,153,110874576.00000
65,130,0.01631
65,131,0.03682
65,132,0.03723
65,133,0.06833
65,134,0.11812
65,135,0.19264
65,136,0.43545
65,137,0.48631
65,138,0.82746
65,139,1.17492
65,140,0.76489
65,141,1.18908
65,142,1.31293
65,143,3.73267
65,144,4.31556
65,145,6.57477
65,146,6.72194
65,147,20.75430
65,148,57.19764
65,149,56.23405
65,150,145.26236
65,151,271.76013
65,152,106.18102
65,153,214162.10938
65,154,503687.46875
65,155,6302954.50000
65,156,489165.37500
65,157,5375683072.00000
65,158,6931471872.00000
65,160,58995159040.00000
66,133,0.02098
66,134,0.06013
66,135,0.06702
66,136,0.17496
66,137,0.23650
66,138,0.35654
66,139,0.45930
66,140,0.87319
66,141,1.09633
66,142,1.77329
66,143,2.15892
66,144,9.25188
66,145,4.47911
66,146,9.01688
66,147,4.18190
66,148,99.91178
66,149,710.27502
66,150,340.84659
66,151,210.36935
66,152,16729.62695
66,153,314.77921
66,155,2704543.25000
66,157,1136652.75000
66,159,35295264.00000
67,136,0.03104
67,137,0.06704
67,138,0.10101
67,139,0.14275
67,140,0.17160
67,141,0.29205
67,142,0.39714
67,143,0.57179
67,144,0.36922
67,145,1.61143
67,146,1.65428
67,147,2.26483
67,148,1.72708
67,149,5.05086
67,150,9.04519
67,151,12.55771
67,152,18.41137
67,153,386.96994
67,154,33.12565
67,155,116.67214
67,156,114.57129
67,157,189.07602
67,158,265.44022
67,159,422.23401
67,160,771.79633
67,161,2205.77856
67,162,46746.28906
67,163,187543748608.00000
67,164,6931471872.00000
68,138,0.05615
68,139,0.08111
68,140,0.11309
68,141,0.13083
68,142,0.22806
68,143,0.22699
68,144,0.54825
68,145,0.60940
68,146,2.37833
68,147,1.44764
68,148,2.47237
68,149,1.51527
68,150,11.62758
68,151,28.16696
68,152,38.24569
68,153,29.92826
68,154,241.10896
68,155,44.62041
68,156,2053.89722
68,157,1071.32739
68,158,7872.20947
68,159,5868.34326
68,160,1044039.87500
68,161,4702.49609
68,163,1040.73706
68,165,988417344.00000
69,141,0.07037
69,142,0.08095
69,143,0.13711
69,144,0.11662
69,145,0.24910
69,146,0.31183
69,147,0.32878
69,148,0.32428
69,149,0.42809
69,150,0.46637
69,151,1.37154
69,152,2.81615
69,153,4.00349
69,154,7.12135
69,155,9.37551
69,156,5.68538
69,157,126.87699
69,158,150.94821
69,159,281.43512
69,160,407.69760
69,161,888.53290
69,162,804.21301
69,163,14720.02930
69,164,282.82938
69,165,2606650.00000
69,166,4295579.00000
69,167,2111401472.00000
69,168,6931471872.00000
69,170,6931471872.00000
70,143,0.05248
70,144,0.07697
70,145,0.07804
70,146,0.15791
70,147,0.15092
70,148,0.32852
70,149,0.40867
70,150,0.55129
70,151,0.62138
70,152,2.08440
70,153,4.66182
70,154,8.42739
70,155,5.00344
70,156,28.72301
70,157,9.57292
70,158,89.49671
70,159,50.87890
70,160,197.79533
70,161,125.97874
70,162,515.94391
70,163,376.72504
70,164,3600.93604
70,165,127.61037
70,166,6931471872.00000
70,167,792076.06250
70,169,547178.62500
71,146,0.04283
71,147,0.07389
71,148,0.08597
71,149,0.12074
71,150,0.18974
