n,z,halflife(Seconds),d-halflife
38,23,0.048299999999999996,0.0010000000000000009
38,24,0.2,0.011999999999999997
38,25,0.276,0.006000000000000005
38,26,2,0.20000000000000007
38,27,1.16,0.030000000000000027
38,28,196560,1079.9999999999854
38,29,222588,431.99999999998545
38,30,STABLE,
38,31,STABLE,
38,32,STABLE,
38,33,235080,251.99999999998545
38,34,725760,6912
38,35,204,12.000000000000014
38,36,690,6.599999999999909
38,37,19,1.1999999999999993
38,38,7.89,0.07000000000000028
38,39,0.057,0.017
39,22,0.015,0.004
39,23,0.0335,0.0020000000000000018
39,24,0.129,0.0020000000000000018
39,25,0.09,0.003999999999999997
39,26,0.81,0.04999999999999999
39,27,0.209,0.019000000000000003
39,28,21,1
39,29,30.9,0.6000000000000014
39,30,3384,54
39,31,1268.4,1.8000000000000682
39,32,987552,2591.999999999942
39,33,93600,360
39,34,25740,288
39,35,1524,18.000000000000114
39,36,276,4.200000000000017
39,37,36.5,0.6000000000000014
39,38,9,0.1999999999999993
39,39,0.053,0.008
39,40,0.056,0.030000000000000002
40,23,0.019600000000000003,0.0009999999999999992
40,24,0.0429,0.0010000000000000009
40,25,0.09190000000000001,0.000900000000000005
40,26,0.35100000000000003,0.005999999999999978
40,27,0.329,0.027999999999999997
40,28,29,2
40,29,171,9
40,30,7.258248e+24,
40,31,STABLE,
40,32,STABLE,
40,33,6937920,5184
40,34,STABLE,
40,35,5802,78
40,36,53280,359.99999999999636
40,37,226.2,2.3999999999999915
40,38,160,8
40,39,14.8,0.5999999999999996
40,40,4.6,0.5999999999999999
41,23,0.015,0.002
41,24,0.028,0.002999999999999999
41,25,0.065,0.002
41,26,0.395,0.009000000000000008
41,27,0.099,0.03
41,28,11.4,0.3000000000000007
41,29,44.5,0.20000000000000284
41,30,147,6.000000000000014
41,31,50760,72
41,32,STABLE,
41,33,1535328,1728
41,34,10348992,4320
41,35,58320,719.9999999999964
41,36,4464,35.999999999999545
41,37,1059.6,1.8000000000000682
41,38,135,6
41,39,30.1,0.5
41,40,5.5,0.40000000000000036
41,41,0.05,0.005000000000000001
41,42,0.006,0.0165
42,24,0.023,0.004
42,25,0.047,0.004
42,26,0.188,0.006000000000000005
42,27,0.18,0.020000000000000004
42,28,6,0.2999999999999998
42,29,19.4,1.6000000000000014
42,30,167400,360
42,31,17496,108.00000000000182
42,32,STABLE,
42,33,STABLE,
42,34,STABLE,
42,35,205329.6,21.60000000000582
42,36,4.73364e+28,
42,37,1374,30
42,38,6378,90
42,39,70.4,1
42,40,32,5
42,41,3.9,0.19999999999999996
42,42,2.3,0.29999999999999993
42,43,0.5,
43,25,0.028,0.004
43,26,0.162,0.007000000000000006
43,27,0.014,0.007000000000000001
43,28,2.56,0.029999999999999805
43,29,6.63,0.03000000000000025
43,30,23.5,1
43,31,487.19999999999993,7.199999999999989
43,32,4966.8,2.4000000000005457
43,33,94538.88,60.479999999995925
43,34,STABLE,
43,35,387,2.4000000000000057
43,36,126144,360.0000000000073
43,37,33.4,0.7000000000000028
43,38,1338,23.999999999999886
